Date,Open,High,Low,Close,Adj Close,Volume
2021-03-30,129.885284,130.277252,128.126190,128.795410,110.673256,5010758
2021-03-31,128.623322,128.785858,126.873802,127.399620,109.473869,5172575
2021-04-01,127.877632,128.040146,126.453156,127.370934,109.449203,4261404
2021-04-05,127.762909,130.678772,127.533463,129.952194,111.667267,5722980
2021-04-06,129.617584,129.674957,128.193115,128.317398,110.262505,3787566
2021-04-07,127.954109,129.005737,127.896751,128.996170,110.845772,3112896
2021-04-08,128.652008,129.665390,128.260040,129.177826,111.001862,4275211
2021-04-09,128.938812,129.770554,128.785858,129.761002,111.502983,3162999
2021-04-12,129.082214,129.416824,127.963669,128.671127,110.566460,3926684
2021-04-13,127.151054,127.743790,124.646271,125.411087,107.765114,8403041
2021-04-14,125.535370,126.940727,124.780113,126.797325,108.956291,6137928
2021-04-15,127.418739,127.982796,126.405357,126.749519,108.915237,4062664
2021-04-16,127.151054,128.202682,127.103249,127.715103,109.744942,5535223
2021-04-19,127.724663,127.934990,126.749519,127.265778,109.358849,8575736
2021-04-20,131.042068,133.623322,130.688339,132.084137,113.499252,16192708
2021-04-21,131.988525,137.409180,131.653915,137.237091,117.927132,12456814
2021-04-22,137.380493,138.374756,134.799240,135.066925,116.062332,7428064
2021-04-23,135.095596,137.294449,134.751434,136.166351,117.007057,4765576
2021-04-26,136.156784,137.313583,135.258133,135.344162,116.300545,4927497
2021-04-27,135.458893,136.290634,134.560226,135.764816,116.662033,4062664
2021-04-28,136.634796,137.093689,135.850861,136.711288,117.475342,3941433
2021-04-29,137.791580,142.198853,136.692154,137.896744,118.493980,4554179
2021-04-30,137.380493,137.504776,134.369019,135.640533,116.555222,9280321
2021-05-03,137.485657,139.340347,137.237091,138.384323,118.912971,5997241
2021-05-04,138.059280,140.143402,137.982788,139.340347,119.734467,6642623
2021-05-05,139.521988,139.521988,138.594650,138.833649,119.299042,5229895
2021-05-06,138.871887,141.978973,138.795410,141.892929,121.927910,7848661
2021-05-07,139.502869,139.713196,138.212234,139.063095,120.831390,7325661
2021-05-10,139.388138,141.854691,139.388138,139.741867,121.421143,7304636
2021-05-11,138.613770,138.804977,136.615677,137.877625,119.801361,7454214
2021-05-12,137.514343,137.810699,134.933075,135.086044,117.375740,6233742
2021-05-13,135.229446,138.527725,135.066925,137.829834,119.759796,4807207
2021-05-14,138.728485,139.282990,137.629059,138.317398,120.183464,2873780
2021-05-17,138.087952,139.388138,137.982788,138.728485,120.540634,4471755
2021-05-18,138.412994,138.910141,136.931168,137.581268,119.543839,4000009
2021-05-19,136.061188,136.902481,134.722748,136.892929,118.945732,4498532
2021-05-20,136.826004,138.537292,135.908218,137.552582,119.518898,4301675
2021-05-21,137.934998,139.292542,137.934998,138.374756,120.233292,4219041
2021-05-24,138.680695,138.996170,137.839386,138.355637,120.216675,3449290
2021-05-25,138.546844,138.623322,136.902481,137.466537,119.444138,4118311
2021-05-26,137.189301,137.657745,136.749527,137.074570,119.103554,3225655
2021-05-27,137.495224,138.403442,137.313583,137.495224,119.469055,5889294
2021-05-28,137.868073,137.982788,137.179733,137.418732,119.402603,2651192
2021-06-01,138.623322,139.416824,137.428299,137.848953,119.776421,2528705
2021-06-02,138.260040,139.340347,137.772461,139.311661,121.047356,2915097
2021-06-03,138.537292,139.464630,137.705551,139.149139,120.906136,4320608
2021-06-04,139.579346,141.061188,139.349899,140.936905,122.459534,3261323
2021-06-07,141.061188,142.198853,140.697891,141.510513,122.957932,3621984
2021-06-08,141.606125,143.594650,141.606125,142.514343,123.830162,5313785
2021-06-09,142.476105,144.426392,142.275330,144.043976,125.159248,5547252
2021-06-10,144.808792,146.118546,143.173996,143.919693,125.051270,4977391
2021-06-11,143.814529,145.172089,143.757172,144.627151,125.665947,3596462
2021-06-14,144.082214,144.388138,142.122375,143.432129,124.627647,3498661
2021-06-15,143.260040,143.317398,142.065002,142.791580,124.071045,2628912
2021-06-16,143.173996,143.173996,140.745697,141.328873,122.800102,4057329
2021-06-17,141.061188,141.548752,138.891006,139.196945,120.947685,4568300
2021-06-18,138.126190,138.317398,136.749527,136.826004,118.887573,9577699
2021-06-21,137.772461,140.602295,137.724670,140.200760,121.819901,4482633
2021-06-22,140.076477,140.353729,138.957932,139.923523,121.579002,2549102
2021-06-23,139.990433,140.057358,138.212234,138.250473,120.125290,3349920
2021-06-24,139.388138,139.761002,138.326965,139.043976,120.814774,3775746
2021-06-25,138.986618,140.468445,138.575531,140.382416,121.977745,3759533
2021-06-28,140.544937,140.822174,138.537292,138.900574,120.690178,4067789
2021-06-29,138.871887,140.286804,138.718933,139.149139,120.906136,2540211
2021-06-30,138.747604,140.468445,138.346085,140.143402,121.770065,3394375
2021-07-01,140.497131,141.013382,140.124283,140.382416,121.977745,2809661
2021-07-02,140.449326,140.487579,133.326965,133.862335,116.312477,17584515
2021-07-06,133.833649,134.244736,131.070740,132.676865,115.282417,8466010
2021-07-07,132.657745,134.158707,132.657745,133.671127,116.146317,4246446
2021-07-08,131.720840,135.095596,131.606125,134.550674,116.910538,5739820
2021-07-09,135.229446,135.736145,134.646271,135.296371,117.558495,4083689
2021-07-12,135.210327,135.717010,133.957932,134.722748,117.060081,3496360
2021-07-13,134.722748,134.722748,133.489487,134.110901,116.528435,3309858
2021-07-14,134.531555,134.560226,132.820267,133.671127,116.146317,4606061
2021-07-15,133.193115,134.282990,132.695984,134.273422,116.669655,3807126
2021-07-16,134.799240,134.799240,132.495224,132.791580,115.382080,4298328
2021-07-19,130.449326,132.399612,130.219879,131.854691,114.568039,8977086
2021-07-20,136.711288,138.546844,132.600388,133.814529,116.270920,14237838
2021-07-21,133.814529,135.172089,133.508606,135.086044,117.375740,5024984
2021-07-22,135.430206,135.573608,134.235184,134.521988,116.885635,3466653
2021-07-23,134.761002,135.468445,134.158707,135.124283,117.408958,4680013
2021-07-26,135.172089,136.711288,134.923523,136.491394,118.596863,4441630
2021-07-27,136.261948,137.323135,135.372849,136.472275,118.580231,3281302
2021-07-28,136.720840,136.806885,135.411087,135.535370,117.766167,2660815
2021-07-29,136.070740,136.673035,135.372849,135.688339,117.899094,2793761
2021-07-30,135.296371,135.611862,134.598465,134.761002,117.093292,3698238
2021-08-02,135.229446,136.768646,134.827911,135.200760,117.475418,3064257
2021-08-03,135.659653,138.336517,135.420654,137.734222,119.676743,4272596
2021-08-04,137.476105,137.839386,136.204590,136.481842,118.588554,2960285
2021-08-05,136.739960,137.103256,135.965576,136.491394,118.596863,2884240
2021-08-06,136.711288,138.040146,136.606125,137.753342,119.693329,4002833
2021-08-09,135.946457,136.233276,134.770554,135.038239,118.685051,5129689
2021-08-10,135.000000,135.573608,134.168259,135.162521,118.794296,5543695
2021-08-11,135.544937,136.491394,135.277252,135.879547,119.424477,4455960
2021-08-12,136.003830,136.854691,135.831741,136.778198,120.214302,2184780
2021-08-13,136.367111,137.265778,136.175903,136.883362,120.306709,1997965
2021-08-16,136.931168,137.418732,135.975143,137.275330,120.651230,2913319
2021-08-17,136.711288,136.864243,134.885284,136.156784,119.668129,3215195
